C:\Users\Lenovo\.conda\envs\d2l_env\python.exe E:\python\大模型应用开发\实验二\nanoGPT-master\train.py 
tokens per iteration will be: 4,096
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
E:\python\大模型应用开发\实验二\nanoGPT-master\model.py:64: UserWarning: 1Torch was not compiled with flash attention. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\aten\src\ATen\native\transformers\cuda\sdp_utils.cpp:555.)
  y = torch.nn.functional.scaled_dot_product_attention(q, k, v, attn_mask=None, dropout_p=self.dropout if self.training else 0, is_causal=True)
iter 880: loss 1.7549, time 62.47ms, mfu 1.84%
iter 890: loss 1.7412, time 64.00ms, mfu 1.81%
iter 900: loss 1.7538, time 54.99ms, mfu 1.79%
iter 910: loss 1.7529, time 67.00ms, mfu 1.75%
iter 920: loss 1.7764, time 69.00ms, mfu 1.71%
iter 930: loss 1.7307, time 77.37ms, mfu 1.66%
iter 940: loss 1.7383, time 63.50ms, mfu 1.64%
iter 950: loss 1.6829, time 13.01ms, mfu 2.20%
iter 960: loss 1.7582, time 27.00ms, mfu 2.32%
iter 970: loss 1.7073, time 19.07ms, mfu 2.58%
iter 980: loss 1.7121, time 16.00ms, mfu 2.90%
iter 990: loss 1.7133, time 23.45ms, mfu 3.01%
step 1000: train loss 1.6073, val loss 1.7990
saving checkpoint to out-shakespeare-char
iter 1000: loss 1.7094, time 2866.05ms, mfu 2.71%
iter 1010: loss 1.6921, time 14.57ms, mfu 3.08%
iter 1020: loss 1.7033, time 19.04ms, mfu 3.26%
iter 1030: loss 1.7013, time 24.84ms, mfu 3.31%
iter 1040: loss 1.6784, time 23.13ms, mfu 3.38%
iter 1050: loss 1.6612, time 33.96ms, mfu 3.32%
iter 1060: loss 1.6775, time 28.45ms, mfu 3.31%
iter 1070: loss 1.7083, time 20.46ms, mfu 3.44%
iter 1080: loss 1.6187, time 19.04ms, mfu 3.58%
iter 1090: loss 1.6217, time 19.23ms, mfu 3.71%
iter 1100: loss 1.6557, time 30.07ms, mfu 3.65%
iter 1110: loss 1.5636, time 23.32ms, mfu 3.68%
iter 1120: loss 1.6483, time 26.71ms, mfu 3.66%
iter 1130: loss 1.6482, time 13.00ms, mfu 4.01%
iter 1140: loss 1.6462, time 15.74ms, mfu 4.20%
iter 1150: loss 1.6131, time 16.33ms, mfu 4.35%
iter 1160: loss 1.6845, time 15.00ms, mfu 4.54%
iter 1170: loss 1.6306, time 23.93ms, mfu 4.47%
iter 1180: loss 1.5753, time 13.47ms, mfu 4.72%
iter 1190: loss 1.6773, time 31.42ms, mfu 4.54%
iter 1200: loss 1.6073, time 18.55ms, mfu 4.59%
iter 1210: loss 1.5902, time 16.42ms, mfu 4.70%
iter 1220: loss 1.5502, time 26.23ms, mfu 4.58%
iter 1230: loss 1.6149, time 30.92ms, mfu 4.43%
iter 1240: loss 1.5805, time 12.07ms, mfu 4.76%
step 1250: train loss 1.5252, val loss 1.7096
saving checkpoint to out-shakespeare-char
iter 1250: loss 1.6040, time 2863.80ms, mfu 4.28%
iter 1260: loss 1.6160, time 25.00ms, mfu 4.23%
iter 1270: loss 1.6029, time 26.99ms, mfu 4.15%
iter 1280: loss 1.5879, time 28.52ms, mfu 4.06%
iter 1290: loss 1.5584, time 28.97ms, mfu 3.98%
iter 1300: loss 1.6169, time 29.03ms, mfu 3.90%
iter 1310: loss 1.5951, time 21.32ms, mfu 3.95%
iter 1320: loss 1.6440, time 27.64ms, mfu 3.89%
iter 1330: loss 1.5701, time 24.69ms, mfu 3.88%
iter 1340: loss 1.5304, time 22.00ms, mfu 3.91%
iter 1350: loss 1.6087, time 26.35ms, mfu 3.88%
iter 1360: loss 1.6541, time 13.00ms, mfu 4.20%
iter 1370: loss 1.6021, time 15.00ms, mfu 4.41%
iter 1380: loss 1.6031, time 23.82ms, mfu 4.36%
iter 1390: loss 1.5759, time 17.00ms, mfu 4.47%
iter 1400: loss 1.5180, time 29.00ms, mfu 4.34%
iter 1410: loss 1.5442, time 15.99ms, mfu 4.49%
iter 1420: loss 1.5867, time 18.00ms, mfu 4.56%
iter 1430: loss 1.5062, time 23.99ms, mfu 4.49%
iter 1440: loss 1.5634, time 30.07ms, mfu 4.35%
iter 1450: loss 1.5944, time 15.00ms, mfu 4.54%
iter 1460: loss 1.5407, time 18.09ms, mfu 4.60%
iter 1470: loss 1.5390, time 15.00ms, mfu 4.76%
iter 1480: loss 1.4984, time 17.00ms, mfu 4.83%
iter 1490: loss 1.5985, time 25.00ms, mfu 4.72%
step 1500: train loss 1.4579, val loss 1.6493
saving checkpoint to out-shakespeare-char
iter 1500: loss 1.4900, time 2883.62ms, mfu 4.25%
iter 1510: loss 1.5615, time 31.29ms, mfu 4.13%
iter 1520: loss 1.5303, time 27.42ms, mfu 4.05%
iter 1530: loss 1.5352, time 34.61ms, mfu 3.92%
iter 1540: loss 1.5386, time 32.84ms, mfu 3.81%
iter 1550: loss 1.5288, time 15.32ms, mfu 4.04%
iter 1560: loss 1.4868, time 32.12ms, mfu 3.92%
iter 1570: loss 1.5344, time 29.50ms, mfu 3.85%
iter 1580: loss 1.4930, time 14.43ms, mfu 4.11%
iter 1590: loss 1.4565, time 24.90ms, mfu 4.07%
iter 1600: loss 1.4398, time 35.57ms, mfu 3.92%
iter 1610: loss 1.5424, time 16.00ms, mfu 4.11%
iter 1620: loss 1.4982, time 19.11ms, mfu 4.19%
iter 1630: loss 1.5140, time 26.04ms, mfu 4.13%
iter 1640: loss 1.4688, time 19.89ms, mfu 4.18%
iter 1650: loss 1.4882, time 12.80ms, mfu 4.49%
iter 1660: loss 1.6052, time 27.77ms, mfu 4.38%
iter 1670: loss 1.5423, time 29.79ms, mfu 4.25%
