C:\Users\Lenovo\.conda\envs\d2l_env\python.exe E:\python\大模型应用开发\实验二\nanoGPT-master\train2.py 
初始化 GPU 模型 | 配置：n_layer=6, n_head=8, n_embd=256
number of parameters: 17.60M
num decayed parameter tensors: 26, with 17,629,184 parameters
num non-decayed parameter tensors: 13, with 3,328 parameters
using fused AdamW: True

开始 GPU 训练 | 数据集：tianlong | 总迭代数：5000 | 批次大小：16
【训练】迭代 63 | 训练损失：4.2154 | 耗时：37.23ms | GPU 利用率：1.91%
【训练】迭代 64 | 训练损失：4.2744 | 耗时：36.25ms | GPU 利用率：1.92%
【训练】迭代 65 | 训练损失：4.1843 | 耗时：37.30ms | GPU 利用率：1.92%
【训练】迭代 66 | 训练损失：4.1948 | 耗时：39.40ms | GPU 利用率：1.90%
【训练】迭代 67 | 训练损失：4.0774 | 耗时：37.04ms | GPU 利用率：1.91%
【训练】迭代 68 | 训练损失：3.9992 | 耗时：35.09ms | GPU 利用率：1.92%
【训练】迭代 69 | 训练损失：3.9556 | 耗时：38.70ms | GPU 利用率：1.91%
【训练】迭代 70 | 训练损失：4.0040 | 耗时：35.93ms | GPU 利用率：1.91%
【训练】迭代 71 | 训练损失：3.9656 | 耗时：36.77ms | GPU 利用率：1.92%
【训练】迭代 72 | 训练损失：3.9722 | 耗时：36.97ms | GPU 利用率：1.92%
【训练】迭代 73 | 训练损失：3.8343 | 耗时：37.13ms | GPU 利用率：1.92%
【训练】迭代 74 | 训练损失：3.8132 | 耗时：37.05ms | GPU 利用率：1.91%
【训练】迭代 75 | 训练损失：3.8124 | 耗时：36.22ms | GPU 利用率：1.92%
【训练】迭代 76 | 训练损失：3.7604 | 耗时：36.09ms | GPU 利用率：1.92%
【训练】迭代 77 | 训练损失：3.8053 | 耗时：37.52ms | GPU 利用率：1.92%
【训练】迭代 78 | 训练损失：3.6915 | 耗时：38.03ms | GPU 利用率：1.91%
【训练】迭代 79 | 训练损失：3.8042 | 耗时：36.24ms | GPU 利用率：1.92%
【训练】迭代 80 | 训练损失：3.6893 | 耗时：38.68ms | GPU 利用率：1.91%
【训练】迭代 81 | 训练损失：3.6757 | 耗时：35.52ms | GPU 利用率：1.92%
【训练】迭代 82 | 训练损失：3.7249 | 耗时：37.69ms | GPU 利用率：1.91%
【训练】迭代 83 | 训练损失：3.5997 | 耗时：36.33ms | GPU 利用率：1.92%
【训练】迭代 84 | 训练损失：3.7729 | 耗时：37.44ms | GPU 利用率：1.92%
【训练】迭代 85 | 训练损失：3.7227 | 耗时：37.38ms | GPU 利用率：1.91%
【训练】迭代 86 | 训练损失：3.7418 | 耗时：35.61ms | GPU 利用率：1.92%
【训练】迭代 87 | 训练损失：3.7150 | 耗时：36.48ms | GPU 利用率：1.92%
【训练】迭代 88 | 训练损失：3.6309 | 耗时：37.01ms | GPU 利用率：1.92%
【训练】迭代 89 | 训练损失：3.7018 | 耗时：36.95ms | GPU 利用率：1.92%
【训练】迭代 90 | 训练损失：3.5870 | 耗时：37.85ms | GPU 利用率：1.92%
【训练】迭代 91 | 训练损失：3.6955 | 耗时：37.26ms | GPU 利用率：1.92%
【训练】迭代 92 | 训练损失：3.6702 | 耗时：35.61ms | GPU 利用率：1.92%
【训练】迭代 93 | 训练损失：3.5630 | 耗时：37.26ms | GPU 利用率：1.92%
【训练】迭代 94 | 训练损失：3.6232 | 耗时：36.94ms | GPU 利用率：1.92%
【训练】迭代 95 | 训练损失：3.5160 | 耗时：37.61ms | GPU 利用率：1.92%
【训练】迭代 96 | 训练损失：3.5293 | 耗时：37.39ms | GPU 利用率：1.91%
【训练】迭代 97 | 训练损失：3.4975 | 耗时：37.56ms | GPU 利用率：1.91%
【训练】迭代 98 | 训练损失：3.5230 | 耗时：35.93ms | GPU 利用率：1.92%
【训练】迭代 99 | 训练损失：3.4538 | 耗时：38.01ms | GPU 利用率：1.91%
【训练】迭代 100 | 训练损失：3.6211 | 耗时：36.99ms | GPU 利用率：1.91%
【训练】迭代 101 | 训练损失：3.5562 | 耗时：36.00ms | GPU 利用率：1.92%
【训练】迭代 102 | 训练损失：3.5074 | 耗时：38.10ms | GPU 利用率：1.91%
【训练】迭代 103 | 训练损失：3.5638 | 耗时：36.37ms | GPU 利用率：1.92%
【训练】迭代 104 | 训练损失：3.5241 | 耗时：36.13ms | GPU 利用率：1.92%
【训练】迭代 105 | 训练损失：3.4686 | 耗时：37.21ms | GPU 利用率：1.92%
【训练】迭代 106 | 训练损失：3.4888 | 耗时：35.99ms | GPU 利用率：1.92%
【训练】迭代 107 | 训练损失：3.4020 | 耗时：37.00ms | GPU 利用率：1.92%
【训练】迭代 108 | 训练损失：3.4395 | 耗时：37.32ms | GPU 利用率：1.92%
【训练】迭代 109 | 训练损失：3.5344 | 耗时：37.00ms | GPU 利用率：1.92%
【训练】迭代 110 | 训练损失：3.3403 | 耗时：36.51ms | GPU 利用率：1.92%
【训练】迭代 111 | 训练损失：3.3821 | 耗时：37.59ms | GPU 利用率：1.92%
【训练】迭代 112 | 训练损失：3.4291 | 耗时：37.50ms | GPU 利用率：1.92%
【训练】迭代 113 | 训练损失：3.4482 | 耗时：36.11ms | GPU 利用率：1.92%
【训练】迭代 114 | 训练损失：3.4785 | 耗时：40.74ms | GPU 利用率：1.90%
【训练】迭代 115 | 训练损失：3.4727 | 耗时：37.20ms | GPU 利用率：1.90%
【训练】迭代 116 | 训练损失：3.4485 | 耗时：36.93ms | GPU 利用率：1.90%
【训练】迭代 117 | 训练损失：3.4468 | 耗时：36.95ms | GPU 利用率：1.91%
【训练】迭代 118 | 训练损失：3.3059 | 耗时：37.09ms | GPU 利用率：1.91%
【训练】迭代 119 | 训练损失：3.3519 | 耗时：36.57ms | GPU 利用率：1.91%
【训练】迭代 120 | 训练损失：3.3544 | 耗时：38.53ms | GPU 利用率：1.90%
【训练】迭代 121 | 训练损失：3.5238 | 耗时：35.89ms | GPU 利用率：1.91%
【训练】迭代 122 | 训练损失：3.4042 | 耗时：36.11ms | GPU 利用率：1.91%
【训练】迭代 123 | 训练损失：3.3574 | 耗时：38.16ms | GPU 利用率：1.91%
【训练】迭代 124 | 训练损失：3.2684 | 耗时：36.44ms | GPU 利用率：1.91%
【训练】迭代 125 | 训练损失：3.3718 | 耗时：36.09ms | GPU 利用率：1.92%
【训练】迭代 126 | 训练损失：3.3987 | 耗时：38.54ms | GPU 利用率：1.91%
【训练】迭代 127 | 训练损失：3.3697 | 耗时：35.00ms | GPU 利用率：1.92%
【训练】迭代 128 | 训练损失：3.3960 | 耗时：37.60ms | GPU 利用率：1.92%
【训练】迭代 129 | 训练损失：3.2998 | 耗时：36.00ms | GPU 利用率：1.92%
【训练】迭代 130 | 训练损失：3.3828 | 耗时：36.50ms | GPU 利用率：1.92%
【训练】迭代 131 | 训练损失：3.3360 | 耗时：36.92ms | GPU 利用率：1.92%
【训练】迭代 132 | 训练损失：3.4352 | 耗时：37.86ms | GPU 利用率：1.92%
【训练】迭代 133 | 训练损失：3.3450 | 耗时：36.13ms | GPU 利用率：1.92%
【训练】迭代 134 | 训练损失：3.1526 | 耗时：37.07ms | GPU 利用率：1.92%
【训练】迭代 135 | 训练损失：3.3827 | 耗时：37.25ms | GPU 利用率：1.92%
【训练】迭代 136 | 训练损失：3.2442 | 耗时：35.86ms | GPU 利用率：1.93%
【训练】迭代 137 | 训练损失：3.4289 | 耗时：38.75ms | GPU 利用率：1.92%
【训练】迭代 138 | 训练损失：3.3168 | 耗时：36.14ms | GPU 利用率：1.92%
【训练】迭代 139 | 训练损失：3.4546 | 耗时：37.00ms | GPU 利用率：1.92%
【训练】迭代 140 | 训练损失：3.4395 | 耗时：36.33ms | GPU 利用率：1.92%
【训练】迭代 141 | 训练损失：3.2579 | 耗时：36.03ms | GPU 利用率：1.93%
【训练】迭代 142 | 训练损失：3.3292 | 耗时：37.38ms | GPU 利用率：1.92%
【训练】迭代 143 | 训练损失：3.2987 | 耗时：37.82ms | GPU 利用率：1.92%
【训练】迭代 144 | 训练损失：3.2388 | 耗时：37.27ms | GPU 利用率：1.92%
【训练】迭代 145 | 训练损失：3.3507 | 耗时：37.43ms | GPU 利用率：1.91%
【训练】迭代 146 | 训练损失：3.2826 | 耗时：37.30ms | GPU 利用率：1.91%
【训练】迭代 147 | 训练损失：3.3092 | 耗时：34.99ms | GPU 利用率：1.92%
【训练】迭代 148 | 训练损失：3.3693 | 耗时：37.77ms | GPU 利用率：1.92%
【训练】迭代 149 | 训练损失：3.2977 | 耗时：36.62ms | GPU 利用率：1.92%
【训练】迭代 150 | 训练损失：3.1978 | 耗时：38.64ms | GPU 利用率：1.91%
【训练】迭代 151 | 训练损失：3.2513 | 耗时：36.37ms | GPU 利用率：1.92%
【训练】迭代 152 | 训练损失：3.3009 | 耗时：35.78ms | GPU 利用率：1.92%
【训练】迭代 153 | 训练损失：3.2460 | 耗时：35.48ms | GPU 利用率：1.93%
【训练】迭代 154 | 训练损失：3.2866 | 耗时：37.05ms | GPU 利用率：1.93%
【训练】迭代 155 | 训练损失：3.1341 | 耗时：37.00ms | GPU 利用率：1.93%
【训练】迭代 156 | 训练损失：3.1894 | 耗时：39.00ms | GPU 利用率：1.92%
【训练】迭代 157 | 训练损失：3.3719 | 耗时：36.09ms | GPU 利用率：1.92%
【训练】迭代 158 | 训练损失：3.3508 | 耗时：36.64ms | GPU 利用率：1.92%
【训练】迭代 159 | 训练损失：3.3207 | 耗时：37.02ms | GPU 利用率：1.92%
【训练】迭代 160 | 训练损失：3.2126 | 耗时：36.68ms | GPU 利用率：1.92%
【训练】迭代 161 | 训练损失：3.3036 | 耗时：35.98ms | GPU 利用率：1.93%
【训练】迭代 162 | 训练损失：3.3066 | 耗时：38.68ms | GPU 利用率：1.92%
【训练】迭代 163 | 训练损失：3.3244 | 耗时：36.00ms | GPU 利用率：1.92%
【训练】迭代 164 | 训练损失：3.2735 | 耗时：37.64ms | GPU 利用率：1.92%
【训练】迭代 165 | 训练损失：3.1717 | 耗时：35.91ms | GPU 利用率：1.92%
【训练】迭代 166 | 训练损失：3.1844 | 耗时：38.12ms | GPU 利用率：1.92%
【训练】迭代 167 | 训练损失：3.1984 | 耗时：36.66ms | GPU 利用率：1.92%
【训练】迭代 168 | 训练损失：3.2179 | 耗时：37.83ms | GPU 利用率：1.91%
【训练】迭代 169 | 训练损失：3.2869 | 耗时：37.46ms | GPU 利用率：1.91%
【训练】迭代 170 | 训练损失：3.2314 | 耗时：36.22ms | GPU 利用率：1.92%
【训练】迭代 171 | 训练损失：3.1946 | 耗时：35.98ms | GPU 利用率：1.92%
【训练】迭代 172 | 训练损失：3.2524 | 耗时：37.00ms | GPU 利用率：1.92%
【训练】迭代 173 | 训练损失：3.1951 | 耗时：37.49ms | GPU 利用率：1.92%
【训练】迭代 174 | 训练损失：3.3109 | 耗时：37.00ms | GPU 利用率：1.92%
