C:\Users\Lenovo\.conda\envs\d2l_env\python.exe E:\python\大模型应用开发\实验二\nanoGPT-master\train2.py 
初始化 GPU 模型 | 配置：n_layer=6, n_head=8, n_embd=256
number of parameters: 17.60M
num decayed parameter tensors: 26, with 17,629,184 parameters
num non-decayed parameter tensors: 13, with 3,328 parameters
using fused AdamW: True

开始 GPU 训练 | 数据集：tianlong | 总迭代数：5000 | 批次大小：16
【训练】迭代 1086 | 训练损失：2.4881 | 耗时：37.04ms | GPU 利用率：1.92%
【训练】迭代 1087 | 训练损失：2.5924 | 耗时：37.21ms | GPU 利用率：1.92%
【训练】迭代 1088 | 训练损失：2.6578 | 耗时：35.96ms | GPU 利用率：1.93%
【训练】迭代 1089 | 训练损失：2.5150 | 耗时：35.84ms | GPU 利用率：1.93%
【训练】迭代 1090 | 训练损失：2.6328 | 耗时：38.15ms | GPU 利用率：1.92%
【训练】迭代 1091 | 训练损失：2.6600 | 耗时：37.01ms | GPU 利用率：1.92%
【训练】迭代 1092 | 训练损失：2.5521 | 耗时：36.41ms | GPU 利用率：1.93%
【训练】迭代 1093 | 训练损失：2.6684 | 耗时：36.17ms | GPU 利用率：1.93%
【训练】迭代 1094 | 训练损失：2.6132 | 耗时：36.83ms | GPU 利用率：1.93%
【训练】迭代 1095 | 训练损失：2.6932 | 耗时：37.65ms | GPU 利用率：1.92%
【训练】迭代 1096 | 训练损失：2.5375 | 耗时：37.98ms | GPU 利用率：1.92%
【训练】迭代 1097 | 训练损失：2.5045 | 耗时：36.95ms | GPU 利用率：1.92%
【训练】迭代 1098 | 训练损失：2.5027 | 耗时：35.90ms | GPU 利用率：1.92%
【训练】迭代 1099 | 训练损失：2.5206 | 耗时：36.38ms | GPU 利用率：1.93%
【训练】迭代 1100 | 训练损失：2.5289 | 耗时：37.27ms | GPU 利用率：1.92%
【训练】迭代 1101 | 训练损失：2.6325 | 耗时：37.79ms | GPU 利用率：1.92%
【训练】迭代 1102 | 训练损失：2.5935 | 耗时：37.55ms | GPU 利用率：1.92%
【训练】迭代 1103 | 训练损失：2.5089 | 耗时：36.99ms | GPU 利用率：1.92%
【训练】迭代 1104 | 训练损失：2.5536 | 耗时：36.87ms | GPU 利用率：1.92%
【训练】迭代 1105 | 训练损失：2.6522 | 耗时：36.41ms | GPU 利用率：1.92%
【训练】迭代 1106 | 训练损失：2.6331 | 耗时：37.56ms | GPU 利用率：1.92%
【训练】迭代 1107 | 训练损失：2.5190 | 耗时：35.71ms | GPU 利用率：1.92%
【训练】迭代 1108 | 训练损失：2.5976 | 耗时：38.74ms | GPU 利用率：1.91%
【训练】迭代 1109 | 训练损失：2.6702 | 耗时：36.13ms | GPU 利用率：1.92%
【训练】迭代 1110 | 训练损失：2.3364 | 耗时：35.88ms | GPU 利用率：1.92%
【训练】迭代 1111 | 训练损失：2.5200 | 耗时：36.64ms | GPU 利用率：1.92%
【训练】迭代 1112 | 训练损失：2.4647 | 耗时：37.34ms | GPU 利用率：1.92%
【训练】迭代 1113 | 训练损失：2.4002 | 耗时：37.04ms | GPU 利用率：1.92%
【训练】迭代 1114 | 训练损失：2.6450 | 耗时：38.58ms | GPU 利用率：1.91%
【训练】迭代 1115 | 训练损失：2.6121 | 耗时：35.33ms | GPU 利用率：1.92%
【训练】迭代 1116 | 训练损失：2.5072 | 耗时：36.04ms | GPU 利用率：1.93%
【训练】迭代 1117 | 训练损失：2.5703 | 耗时：37.67ms | GPU 利用率：1.92%
【训练】迭代 1118 | 训练损失：2.5971 | 耗时：36.74ms | GPU 利用率：1.92%
【训练】迭代 1119 | 训练损失：2.6739 | 耗时：35.89ms | GPU 利用率：1.93%
【训练】迭代 1120 | 训练损失：2.5400 | 耗时：38.85ms | GPU 利用率：1.92%
【训练】迭代 1121 | 训练损失：2.6968 | 耗时：36.20ms | GPU 利用率：1.92%
【训练】迭代 1122 | 训练损失：2.5867 | 耗时：37.24ms | GPU 利用率：1.92%
【训练】迭代 1123 | 训练损失：2.5534 | 耗时：37.23ms | GPU 利用率：1.92%
【训练】迭代 1124 | 训练损失：2.5313 | 耗时：35.97ms | GPU 利用率：1.92%
【训练】迭代 1125 | 训练损失：2.5506 | 耗时：38.20ms | GPU 利用率：1.92%
【训练】迭代 1126 | 训练损失：2.6425 | 耗时：37.55ms | GPU 利用率：1.91%
【训练】迭代 1127 | 训练损失：2.4977 | 耗时：36.02ms | GPU 利用率：1.92%
【训练】迭代 1128 | 训练损失：2.5790 | 耗时：37.00ms | GPU 利用率：1.92%
【训练】迭代 1129 | 训练损失：2.5585 | 耗时：36.30ms | GPU 利用率：1.92%
【训练】迭代 1130 | 训练损失：2.8342 | 耗时：36.02ms | GPU 利用率：1.93%
【训练】迭代 1131 | 训练损失：2.5504 | 耗时：37.99ms | GPU 利用率：1.92%
【训练】迭代 1132 | 训练损失：2.6523 | 耗时：36.83ms | GPU 利用率：1.92%
【训练】迭代 1133 | 训练损失：2.6721 | 耗时：37.53ms | GPU 利用率：1.92%
【训练】迭代 1134 | 训练损失：2.4790 | 耗时：36.16ms | GPU 利用率：1.92%
【训练】迭代 1135 | 训练损失：2.5218 | 耗时：36.09ms | GPU 利用率：1.93%
【训练】迭代 1136 | 训练损失：2.4533 | 耗时：38.97ms | GPU 利用率：1.92%
【训练】迭代 1137 | 训练损失：2.4214 | 耗时：35.88ms | GPU 利用率：1.92%
【训练】迭代 1138 | 训练损失：2.5752 | 耗时：37.77ms | GPU 利用率：1.92%
【训练】迭代 1139 | 训练损失：2.5261 | 耗时：36.43ms | GPU 利用率：1.92%
【训练】迭代 1140 | 训练损失：2.5317 | 耗时：36.95ms | GPU 利用率：1.92%
【训练】迭代 1141 | 训练损失：2.5272 | 耗时：37.03ms | GPU 利用率：1.92%
【训练】迭代 1142 | 训练损失：2.5803 | 耗时：37.79ms | GPU 利用率：1.91%
【训练】迭代 1143 | 训练损失：2.4892 | 耗时：35.44ms | GPU 利用率：1.92%
【训练】迭代 1144 | 训练损失：2.5754 | 耗时：38.23ms | GPU 利用率：1.92%
【训练】迭代 1145 | 训练损失：2.5143 | 耗时：36.05ms | GPU 利用率：1.92%
【训练】迭代 1146 | 训练损失：2.5556 | 耗时：36.72ms | GPU 利用率：1.92%
【训练】迭代 1147 | 训练损失：2.5519 | 耗时：37.33ms | GPU 利用率：1.92%
【训练】迭代 1148 | 训练损失：2.5925 | 耗时：35.81ms | GPU 利用率：1.93%
【训练】迭代 1149 | 训练损失：2.6320 | 耗时：37.76ms | GPU 利用率：1.92%
【训练】迭代 1150 | 训练损失：2.5080 | 耗时：36.79ms | GPU 利用率：1.92%
【训练】迭代 1151 | 训练损失：2.4612 | 耗时：36.83ms | GPU 利用率：1.92%
【训练】迭代 1152 | 训练损失：2.5016 | 耗时：36.39ms | GPU 利用率：1.92%
【训练】迭代 1153 | 训练损失：2.4315 | 耗时：36.86ms | GPU 利用率：1.92%
【训练】迭代 1154 | 训练损失：2.4743 | 耗时：35.65ms | GPU 利用率：1.93%
【训练】迭代 1155 | 训练损失：2.5160 | 耗时：37.20ms | GPU 利用率：1.93%
【训练】迭代 1156 | 训练损失：2.7082 | 耗时：37.37ms | GPU 利用率：1.92%
【训练】迭代 1157 | 训练损失：2.6486 | 耗时：36.55ms | GPU 利用率：1.93%
【训练】迭代 1158 | 训练损失：2.6314 | 耗时：37.18ms | GPU 利用率：1.92%
【训练】迭代 1159 | 训练损失：2.5026 | 耗时：36.95ms | GPU 利用率：1.92%
【训练】迭代 1160 | 训练损失：2.5677 | 耗时：35.79ms | GPU 利用率：1.93%
【训练】迭代 1161 | 训练损失：2.6489 | 耗时：37.58ms | GPU 利用率：1.92%
【训练】迭代 1162 | 训练损失：2.6090 | 耗时：37.73ms | GPU 利用率：1.92%
【训练】迭代 1163 | 训练损失：2.5752 | 耗时：36.51ms | GPU 利用率：1.92%
【训练】迭代 1164 | 训练损失：2.3606 | 耗时：36.31ms | GPU 利用率：1.93%
【训练】迭代 1165 | 训练损失：2.5926 | 耗时：37.39ms | GPU 利用率：1.92%
【训练】迭代 1166 | 训练损失：2.4929 | 耗时：37.15ms | GPU 利用率：1.92%
【训练】迭代 1167 | 训练损失：2.6514 | 耗时：36.65ms | GPU 利用率：1.92%
【训练】迭代 1168 | 训练损失：2.4619 | 耗时：37.01ms | GPU 利用率：1.92%
【训练】迭代 1169 | 训练损失：2.4498 | 耗时：37.73ms | GPU 利用率：1.92%
【训练】迭代 1170 | 训练损失：2.4776 | 耗时：35.96ms | GPU 利用率：1.92%
【训练】迭代 1171 | 训练损失：2.5029 | 耗时：36.82ms | GPU 利用率：1.92%
【训练】迭代 1172 | 训练损失：2.4246 | 耗时：39.15ms | GPU 利用率：1.91%
【训练】迭代 1173 | 训练损失：2.6369 | 耗时：35.98ms | GPU 利用率：1.92%
【训练】迭代 1174 | 训练损失：2.6106 | 耗时：37.41ms | GPU 利用率：1.91%
【训练】迭代 1175 | 训练损失：2.5929 | 耗时：36.80ms | GPU 利用率：1.92%
【训练】迭代 1176 | 训练损失：2.5048 | 耗时：36.50ms | GPU 利用率：1.92%
【训练】迭代 1177 | 训练损失：2.5146 | 耗时：35.86ms | GPU 利用率：1.92%
【训练】迭代 1178 | 训练损失：2.4660 | 耗时：37.30ms | GPU 利用率：1.92%
【训练】迭代 1179 | 训练损失：2.6501 | 耗时：36.03ms | GPU 利用率：1.93%
【训练】迭代 1180 | 训练损失：2.3259 | 耗时：38.42ms | GPU 利用率：1.92%
【训练】迭代 1181 | 训练损失：2.6515 | 耗时：37.20ms | GPU 利用率：1.92%
【训练】迭代 1182 | 训练损失：2.5464 | 耗时：37.24ms | GPU 利用率：1.92%
【训练】迭代 1183 | 训练损失：2.5730 | 耗时：37.74ms | GPU 利用率：1.91%
【训练】迭代 1184 | 训练损失：2.6020 | 耗时：35.17ms | GPU 利用率：1.92%
【训练】迭代 1185 | 训练损失：2.5913 | 耗时：36.89ms | GPU 利用率：1.92%
【训练】迭代 1186 | 训练损失：2.5394 | 耗时：38.71ms | GPU 利用率：1.91%
【训练】迭代 1187 | 训练损失：2.4793 | 耗时：35.89ms | GPU 利用率：1.92%
【训练】迭代 1188 | 训练损失：2.4634 | 耗时：37.52ms | GPU 利用率：1.92%
【训练】迭代 1189 | 训练损失：2.5115 | 耗时：35.83ms | GPU 利用率：1.92%
【训练】迭代 1190 | 训练损失：2.3697 | 耗时：38.68ms | GPU 利用率：1.91%
【训练】迭代 1191 | 训练损失：2.5757 | 耗时：37.81ms | GPU 利用率：1.91%
【训练】迭代 1192 | 训练损失：2.5211 | 耗时：35.64ms | GPU 利用率：1.92%
【训练】迭代 1193 | 训练损失：2.6577 | 耗时：37.75ms | GPU 利用率：1.91%
【训练】迭代 1194 | 训练损失：2.6354 | 耗时：37.90ms | GPU 利用率：1.91%
【训练】迭代 1195 | 训练损失：2.4885 | 耗时：35.54ms | GPU 利用率：1.92%
【训练】迭代 1196 | 训练损失：2.5085 | 耗时：37.98ms | GPU 利用率：1.91%
【训练】迭代 1197 | 训练损失：2.4934 | 耗时：35.76ms | GPU 利用率：1.92%
【训练】迭代 1198 | 训练损失：2.5208 | 耗时：37.63ms | GPU 利用率：1.92%
【训练】迭代 1199 | 训练损失：2.6302 | 耗时：36.82ms | GPU 利用率：1.92%
【训练】迭代 1200 | 训练损失：2.3942 | 耗时：36.64ms | GPU 利用率：1.92%
【训练】迭代 1201 | 训练损失：2.5111 | 耗时：36.39ms | GPU 利用率：1.92%
【训练】迭代 1202 | 训练损失：2.4725 | 耗时：36.00ms | GPU 利用率：1.93%
【训练】迭代 1203 | 训练损失：2.6391 | 耗时：37.05ms | GPU 利用率：1.92%
【训练】迭代 1204 | 训练损失：2.6924 | 耗时：38.43ms | GPU 利用率：1.92%
【训练】迭代 1205 | 训练损失：2.4183 | 耗时：36.58ms | GPU 利用率：1.92%
【训练】迭代 1206 | 训练损失：2.5370 | 耗时：36.47ms | GPU 利用率：1.92%
【训练】迭代 1207 | 训练损失：2.5701 | 耗时：37.39ms | GPU 利用率：1.92%
【训练】迭代 1208 | 训练损失：2.3508 | 耗时：36.38ms | GPU 利用率：1.92%
【训练】迭代 1209 | 训练损失：2.5470 | 耗时：37.96ms | GPU 利用率：1.92%
【训练】迭代 1210 | 训练损失：2.5121 | 耗时：37.71ms | GPU 利用率：1.91%
【训练】迭代 1211 | 训练损失：2.4289 | 耗时：36.88ms | GPU 利用率：1.91%
【训练】迭代 1212 | 训练损失：2.5007 | 耗时：35.88ms | GPU 利用率：1.92%
【训练】迭代 1213 | 训练损失：2.5363 | 耗时：37.36ms | GPU 利用率：1.92%
【训练】迭代 1214 | 训练损失：2.6554 | 耗时：35.98ms | GPU 利用率：1.92%
【训练】迭代 1215 | 训练损失：2.5683 | 耗时：37.22ms | GPU 利用率：1.92%
【训练】迭代 1216 | 训练损失：2.6085 | 耗时：38.40ms | GPU 利用率：1.91%
【训练】迭代 1217 | 训练损失：2.6418 | 耗时：36.33ms | GPU 利用率：1.92%
【训练】迭代 1218 | 训练损失：2.5500 | 耗时：36.93ms | GPU 利用率：1.92%
【训练】迭代 1219 | 训练损失：2.4796 | 耗时：37.34ms | GPU 利用率：1.92%
【训练】迭代 1220 | 训练损失：2.4805 | 耗时：36.03ms | GPU 利用率：1.92%
【训练】迭代 1221 | 训练损失：2.5252 | 耗时：35.76ms | GPU 利用率：1.93%
【训练】迭代 1222 | 训练损失：2.5108 | 耗时：37.62ms | GPU 利用率：1.92%
【训练】迭代 1223 | 训练损失：2.4626 | 耗时：36.83ms | GPU 利用率：1.92%
【训练】迭代 1224 | 训练损失：2.5668 | 耗时：37.15ms | GPU 利用率：1.92%
【训练】迭代 1225 | 训练损失：2.5641 | 耗时：35.57ms | GPU 利用率：1.93%
【训练】迭代 1226 | 训练损失：2.5330 | 耗时：37.05ms | GPU 利用率：1.93%
【训练】迭代 1227 | 训练损失：2.4848 | 耗时：36.09ms | GPU 利用率：1.93%
【训练】迭代 1228 | 训练损失：2.5887 | 耗时：38.64ms | GPU 利用率：1.92%
【训练】迭代 1229 | 训练损失：2.5530 | 耗时：35.99ms | GPU 利用率：1.93%
【训练】迭代 1230 | 训练损失：2.5349 | 耗时：36.28ms | GPU 利用率：1.93%
【训练】迭代 1231 | 训练损失：2.4875 | 耗时：37.97ms | GPU 利用率：1.92%
【训练】迭代 1232 | 训练损失：2.4764 | 耗时：35.86ms | GPU 利用率：1.93%
【训练】迭代 1233 | 训练损失：2.5872 | 耗时：37.27ms | GPU 利用率：1.92%
【训练】迭代 1234 | 训练损失：2.4717 | 耗时：36.86ms | GPU 利用率：1.92%
【训练】迭代 1235 | 训练损失：2.4374 | 耗时：37.08ms | GPU 利用率：1.92%
【训练】迭代 1236 | 训练损失：2.4908 | 耗时：35.25ms | GPU 利用率：1.93%
【训练】迭代 1237 | 训练损失：2.5648 | 耗时：36.77ms | GPU 利用率：1.93%
【训练】迭代 1238 | 训练损失：2.4299 | 耗时：36.61ms | GPU 利用率：1.93%
【训练】迭代 1239 | 训练损失：2.6138 | 耗时：36.30ms | GPU 利用率：1.93%
【训练】迭代 1240 | 训练损失：2.5631 | 耗时：37.08ms | GPU 利用率：1.93%
【训练】迭代 1241 | 训练损失：2.4020 | 耗时：37.93ms | GPU 利用率：1.93%
【训练】迭代 1242 | 训练损失：2.5491 | 耗时：36.44ms | GPU 利用率：1.93%
【训练】迭代 1243 | 训练损失：2.4074 | 耗时：35.79ms | GPU 利用率：1.93%
【训练】迭代 1244 | 训练损失：2.5957 | 耗时：36.80ms | GPU 利用率：1.93%
【训练】迭代 1245 | 训练损失：2.5145 | 耗时：36.71ms | GPU 利用率：1.93%
【训练】迭代 1246 | 训练损失：2.4379 | 耗时：38.10ms | GPU 利用率：1.92%
【训练】迭代 1247 | 训练损失：2.4378 | 耗时：38.09ms | GPU 利用率：1.92%
【训练】迭代 1248 | 训练损失：2.6113 | 耗时：35.46ms | GPU 利用率：1.93%
【训练】迭代 1249 | 训练损失：2.6224 | 耗时：36.01ms | GPU 利用率：1.93%

【验证】迭代 1250 | 验证损失：2.5586 | 当前学习率：8.8313e-04
【保存】模型已保存至 out-tianlong-char\ckpt.pt
【训练】迭代 1250 | 训练损失：2.6059 | 耗时：2464.26ms | GPU 利用率：1.74%
【训练】迭代 1251 | 训练损失：2.4714 | 耗时：35.31ms | GPU 利用率：1.77%
【训练】迭代 1252 | 训练损失：2.4426 | 耗时：38.13ms | GPU 利用率：1.78%
【训练】迭代 1253 | 训练损失：2.4497 | 耗时：37.34ms | GPU 利用率：1.79%
【训练】迭代 1254 | 训练损失：2.6133 | 耗时：38.33ms | GPU 利用率：1.79%
【训练】迭代 1255 | 训练损失：2.4314 | 耗时：35.51ms | GPU 利用率：1.81%
【训练】迭代 1256 | 训练损失：2.4306 | 耗时：38.83ms | GPU 利用率：1.82%
【训练】迭代 1257 | 训练损失：2.4698 | 耗时：36.12ms | GPU 利用率：1.83%
【训练】迭代 1258 | 训练损失：2.5920 | 耗时：36.56ms | GPU 利用率：1.84%
【训练】迭代 1259 | 训练损失：2.5793 | 耗时：36.42ms | GPU 利用率：1.85%
【训练】迭代 1260 | 训练损失：2.6266 | 耗时：37.04ms | GPU 利用率：1.86%
【训练】迭代 1261 | 训练损失：2.6555 | 耗时：36.47ms | GPU 利用率：1.87%
【训练】迭代 1262 | 训练损失：2.4370 | 耗时：38.69ms | GPU 利用率：1.86%
【训练】迭代 1263 | 训练损失：2.5158 | 耗时：36.07ms | GPU 利用率：1.87%
【训练】迭代 1264 | 训练损失：2.5618 | 耗时：36.33ms | GPU 利用率：1.88%
【训练】迭代 1265 | 训练损失：2.4868 | 耗时：37.63ms | GPU 利用率：1.88%
【训练】迭代 1266 | 训练损失：2.3867 | 耗时：35.06ms | GPU 利用率：1.89%
【训练】迭代 1267 | 训练损失：2.4901 | 耗时：37.50ms | GPU 利用率：1.89%
【训练】迭代 1268 | 训练损失：2.4195 | 耗时：37.02ms | GPU 利用率：1.90%
【训练】迭代 1269 | 训练损失：2.5063 | 耗时：36.99ms | GPU 利用率：1.90%
【训练】迭代 1270 | 训练损失：2.4018 | 耗时：36.19ms | GPU 利用率：1.90%
【训练】迭代 1271 | 训练损失：2.4427 | 耗时：37.32ms | GPU 利用率：1.90%
【训练】迭代 1272 | 训练损失：2.5249 | 耗时：37.10ms | GPU 利用率：1.90%
【训练】迭代 1273 | 训练损失：2.4115 | 耗时：36.30ms | GPU 利用率：1.91%
【训练】迭代 1274 | 训练损失：2.5254 | 耗时：38.69ms | GPU 利用率：1.90%
【训练】迭代 1275 | 训练损失：2.4083 | 耗时：36.56ms | GPU 利用率：1.91%
【训练】迭代 1276 | 训练损失：2.4255 | 耗时：36.69ms | GPU 利用率：1.91%
【训练】迭代 1277 | 训练损失：2.2721 | 耗时：37.28ms | GPU 利用率：1.91%
【训练】迭代 1278 | 训练损失：2.6051 | 耗时：37.10ms | GPU 利用率：1.91%
【训练】迭代 1279 | 训练损失：2.4249 | 耗时：35.75ms | GPU 利用率：1.91%
【训练】迭代 1280 | 训练损失：2.6026 | 耗时：39.63ms | GPU 利用率：1.90%
【训练】迭代 1281 | 训练损失：2.4699 | 耗时：35.43ms | GPU 利用率：1.91%
【训练】迭代 1282 | 训练损失：2.4831 | 耗时：36.84ms | GPU 利用率：1.91%
【训练】迭代 1283 | 训练损失：2.4426 | 耗时：36.69ms | GPU 利用率：1.91%
【训练】迭代 1284 | 训练损失：2.4160 | 耗时：35.77ms | GPU 利用率：1.92%
【训练】迭代 1285 | 训练损失：2.5630 | 耗时：37.31ms | GPU 利用率：1.92%
【训练】迭代 1286 | 训练损失：2.5498 | 耗时：38.40ms | GPU 利用率：1.91%
【训练】迭代 1287 | 训练损失：2.4491 | 耗时：35.92ms | GPU 利用率：1.92%
【训练】迭代 1288 | 训练损失：2.6763 | 耗时：36.83ms | GPU 利用率：1.92%
【训练】迭代 1289 | 训练损失：2.5713 | 耗时：37.07ms | GPU 利用率：1.92%
【训练】迭代 1290 | 训练损失：2.5930 | 耗时：37.25ms | GPU 利用率：1.92%
【训练】迭代 1291 | 训练损失：2.4914 | 耗时：36.60ms | GPU 利用率：1.92%
【训练】迭代 1292 | 训练损失：2.4693 | 耗时：37.31ms | GPU 利用率：1.92%
【训练】迭代 1293 | 训练损失：2.4675 | 耗时：36.96ms | GPU 利用率：1.92%
【训练】迭代 1294 | 训练损失：2.4078 | 耗时：35.93ms | GPU 利用率：1.92%
【训练】迭代 1295 | 训练损失：2.3871 | 耗时：37.24ms | GPU 利用率：1.92%
【训练】迭代 1296 | 训练损失：2.4814 | 耗时：37.10ms | GPU 利用率：1.92%
【训练】迭代 1297 | 训练损失：2.3846 | 耗时：36.68ms | GPU 利用率：1.92%
【训练】迭代 1298 | 训练损失：2.5532 | 耗时：37.67ms | GPU 利用率：1.92%
【训练】迭代 1299 | 训练损失：2.6374 | 耗时：37.10ms | GPU 利用率：1.92%
【训练】迭代 1300 | 训练损失：2.5034 | 耗时：35.99ms | GPU 利用率：1.92%
【训练】迭代 1301 | 训练损失：2.5322 | 耗时：36.33ms | GPU 利用率：1.92%
【训练】迭代 1302 | 训练损失：2.4429 | 耗时：37.76ms | GPU 利用率：1.92%
【训练】迭代 1303 | 训练损失：2.5642 | 耗时：36.58ms | GPU 利用率：1.92%
【训练】迭代 1304 | 训练损失：2.4205 | 耗时：38.62ms | GPU 利用率：1.91%
【训练】迭代 1305 | 训练损失：2.2971 | 耗时：36.04ms | GPU 利用率：1.92%
【训练】迭代 1306 | 训练损失：2.5201 | 耗时：35.54ms | GPU 利用率：1.93%
【训练】迭代 1307 | 训练损失：2.4937 | 耗时：37.50ms | GPU 利用率：1.92%
【训练】迭代 1308 | 训练损失：2.5582 | 耗时：36.57ms | GPU 利用率：1.92%
【训练】迭代 1309 | 训练损失：2.5028 | 耗时：35.98ms | GPU 利用率：1.93%
【训练】迭代 1310 | 训练损失：2.5323 | 耗时：39.43ms | GPU 利用率：1.92%
【训练】迭代 1311 | 训练损失：2.4411 | 耗时：36.17ms | GPU 利用率：1.92%
【训练】迭代 1312 | 训练损失：2.4770 | 耗时：36.02ms | GPU 利用率：1.92%
【训练】迭代 1313 | 训练损失：2.5089 | 耗时：37.25ms | GPU 利用率：1.92%
【训练】迭代 1314 | 训练损失：2.4334 | 耗时：36.18ms | GPU 利用率：1.93%
【训练】迭代 1315 | 训练损失：2.6289 | 耗时：37.00ms | GPU 利用率：1.92%
【训练】迭代 1316 | 训练损失：2.6895 | 耗时：37.49ms | GPU 利用率：1.92%
【训练】迭代 1317 | 训练损失：2.5068 | 耗时：37.61ms | GPU 利用率：1.92%
【训练】迭代 1318 | 训练损失：2.6041 | 耗时：37.02ms | GPU 利用率：1.92%
【训练】迭代 1319 | 训练损失：2.4927 | 耗时：35.85ms | GPU 利用率：1.92%
【训练】迭代 1320 | 训练损失：2.5368 | 耗时：38.58ms | GPU 利用率：1.91%
【训练】迭代 1321 | 训练损失：2.4644 | 耗时：35.73ms | GPU 利用率：1.92%
【训练】迭代 1322 | 训练损失：2.5838 | 耗时：37.38ms | GPU 利用率：1.92%
【训练】迭代 1323 | 训练损失：2.6488 | 耗时：37.02ms | GPU 利用率：1.92%
【训练】迭代 1324 | 训练损失：2.2618 | 耗时：37.06ms | GPU 利用率：1.92%
【训练】迭代 1325 | 训练损失：2.5655 | 耗时：34.71ms | GPU 利用率：1.93%
【训练】迭代 1326 | 训练损失：2.4101 | 耗时：37.59ms | GPU 利用率：1.93%
【训练】迭代 1327 | 训练损失：2.5549 | 耗时：35.93ms | GPU 利用率：1.93%
【训练】迭代 1328 | 训练损失：2.5291 | 耗时：38.49ms | GPU 利用率：1.92%
【训练】迭代 1329 | 训练损失：2.4787 | 耗时：37.32ms | GPU 利用率：1.92%
【训练】迭代 1330 | 训练损失：2.5210 | 耗时：36.92ms | GPU 利用率：1.92%
【训练】迭代 1331 | 训练损失：2.5029 | 耗时：35.15ms | GPU 利用率：1.93%
【训练】迭代 1332 | 训练损失：2.5583 | 耗时：37.23ms | GPU 利用率：1.93%
【训练】迭代 1333 | 训练损失：2.5107 | 耗时：36.06ms | GPU 利用率：1.93%
【训练】迭代 1334 | 训练损失：2.4998 | 耗时：38.60ms | GPU 利用率：1.92%
【训练】迭代 1335 | 训练损失：2.5058 | 耗时：36.27ms | GPU 利用率：1.92%
【训练】迭代 1336 | 训练损失：2.4835 | 耗时：37.43ms | GPU 利用率：1.92%
【训练】迭代 1337 | 训练损失：2.5391 | 耗时：35.85ms | GPU 利用率：1.93%
【训练】迭代 1338 | 训练损失：2.4557 | 耗时：37.33ms | GPU 利用率：1.92%
【训练】迭代 1339 | 训练损失：2.5016 | 耗时：35.92ms | GPU 利用率：1.93%
【训练】迭代 1340 | 训练损失：2.4170 | 耗时：38.20ms | GPU 利用率：1.92%
【训练】迭代 1341 | 训练损失：2.4337 | 耗时：37.77ms | GPU 利用率：1.92%
【训练】迭代 1342 | 训练损失：2.5341 | 耗时：35.95ms | GPU 利用率：1.92%
【训练】迭代 1343 | 训练损失：2.4563 | 耗时：36.02ms | GPU 利用率：1.93%
【训练】迭代 1344 | 训练损失：2.4613 | 耗时：35.96ms | GPU 利用率：1.93%
【训练】迭代 1345 | 训练损失：2.3446 | 耗时：37.10ms | GPU 利用率：1.93%
【训练】迭代 1346 | 训练损失：2.4438 | 耗时：38.96ms | GPU 利用率：1.92%
【训练】迭代 1347 | 训练损失：2.3740 | 耗时：36.23ms | GPU 利用率：1.92%
【训练】迭代 1348 | 训练损失：2.5289 | 耗时：36.18ms | GPU 利用率：1.93%
【训练】迭代 1349 | 训练损失：2.5323 | 耗时：37.11ms | GPU 利用率：1.92%
【训练】迭代 1350 | 训练损失：2.5985 | 耗时：36.29ms | GPU 利用率：1.93%
【训练】迭代 1351 | 训练损失：2.4453 | 耗时：36.03ms | GPU 利用率：1.93%
【训练】迭代 1352 | 训练损失：2.5052 | 耗时：37.64ms | GPU 利用率：1.93%
【训练】迭代 1353 | 训练损失：2.4806 | 耗时：37.43ms | GPU 利用率：1.92%
【训练】迭代 1354 | 训练损失：2.4201 | 耗时：36.47ms | GPU 利用率：1.92%
【训练】迭代 1355 | 训练损失：2.4568 | 耗时：37.07ms | GPU 利用率：1.92%
【训练】迭代 1356 | 训练损失：2.5235 | 耗时：36.33ms | GPU 利用率：1.93%
【训练】迭代 1357 | 训练损失：2.4468 | 耗时：38.04ms | GPU 利用率：1.92%
【训练】迭代 1358 | 训练损失：2.4374 | 耗时：36.94ms | GPU 利用率：1.92%
【训练】迭代 1359 | 训练损失：2.3990 | 耗时：37.43ms | GPU 利用率：1.92%
【训练】迭代 1360 | 训练损失：2.4442 | 耗时：35.77ms | GPU 利用率：1.92%
【训练】迭代 1361 | 训练损失：2.6113 | 耗时：36.10ms | GPU 利用率：1.93%
【训练】迭代 1362 | 训练损失：2.4335 | 耗时：37.70ms | GPU 利用率：1.92%
【训练】迭代 1363 | 训练损失：2.4894 | 耗时：36.97ms | GPU 利用率：1.92%
【训练】迭代 1364 | 训练损失：2.4436 | 耗时：37.20ms | GPU 利用率：1.92%
【训练】迭代 1365 | 训练损失：2.5589 | 耗时：37.15ms | GPU 利用率：1.92%
【训练】迭代 1366 | 训练损失：2.4779 | 耗时：36.11ms | GPU 利用率：1.92%
【训练】迭代 1367 | 训练损失：2.5006 | 耗时：36.85ms | GPU 利用率：1.92%
【训练】迭代 1368 | 训练损失：2.5473 | 耗时：37.08ms | GPU 利用率：1.92%
【训练】迭代 1369 | 训练损失：2.5471 | 耗时：36.08ms | GPU 利用率：1.93%
【训练】迭代 1370 | 训练损失：2.4813 | 耗时：38.08ms | GPU 利用率：1.92%
